Time (UTC);Air temperature;Precipitation amount;Wind speed;Cloud amount;Relative humidity;Dew-point temperature;Air temperature (Min);Air temperature (Max);Air temperature (Mean);Air temperature (Median);Precipitation amount (Min);Precipitation amount (Max);Precipitation amount (Mean);Precipitation amount (Median);Wind speed (Min);Wind speed (Max);Wind speed (Mean);Wind speed (Median);Cloud amount (Min);Cloud amount (Max);Cloud amount (Mean);Cloud amount (Median);Relative humidity (Min);Relative humidity (Max);Relative humidity (Mean);Relative humidity (Median);Dew-point temperature (Min);Dew-point temperature (Max);Dew-point temperature (Mean);Dew-point temperature (Median);Pressure (msl);Humidity;Visibility
2025-06-17 08:00:00;14.992307692307692;0.2916666666666667;6.3;4.333333333333333;83.1923076923077;12.038461538461538;11.7;17.4;14.992307692307692;15.05;0.0;3.5;0.2916666666666667;0.0;2.6;11.6;6.3;6.5;0.0;8.0;4.333333333333333;6.5;60.0;99.0;83.1923076923077;83.0;8.9;15.9;12.038461538461538;11.85;;;
2025-06-17 07:00:00;13.074752475247523;0.1534482758620689;3.7930817610062895;6.675925925925926;85.53465346534654;10.543564356435644;5.6;17.5;13.074752475247523;13.0;0.0;5.9;0.1534482758620689;0.0;0.7;9.9;3.7930817610062895;3.4;0.0;8.0;6.675925925925926;8.0;43.0;100.0;85.53465346534654;88.5;3.3;16.2;10.543564356435644;10.65;;;
2025-06-17 06:00:00;12.744554455445543;0.1620689655172414;3.625;6.850467289719626;87.3069306930693;10.541089108910892;5.9;16.9;12.744554455445543;12.6;0.0;4.7;0.1620689655172414;0.0;0.7;11.2;3.625;3.0;0.0;8.0;6.850467289719626;8.0;49.0;100.0;87.3069306930693;92.0;3.6;16.6;10.541089108910892;10.55;;;
2025-06-17 05:00:00;12.446039603960395;0.2111111111111111;3.62125;6.925925925925926;88.4009900990099;10.46930693069307;6.0;16.2;12.446039603960395;12.3;0.0;3.2;0.2111111111111111;0.0;0.7;10.9;3.62125;3.1;0.0;8.0;6.925925925925926;8.0;55.0;100.0;88.4009900990099;93.0;4.1;15.5;10.46930693069307;10.45;;;
2025-06-17 04:00:00;12.14626865671642;0.3543103448275862;3.520625;7.00925925925926;89.60199004975124;10.398507462686569;6.3;15.7;12.14626865671642;12.0;0.0;6.7;0.3543103448275862;0.0;0.4;10.4;3.520625;2.95;0.0;9.0;7.00925925925926;8.0;60.0;100.0;89.60199004975124;94.0;3.4;15.2;10.398507462686569;10.4;;;
2025-06-17 03:00:00;11.925742574257423;0.3153846153846154;3.3371069182389936;7.185185185185185;90.54950495049503;10.360891089108913;6.2;15.6;11.925742574257423;11.65;0.0;4.4;0.3153846153846154;0.0;0.0;9.9;3.3371069182389936;2.8;0.0;9.0;7.185185185185185;8.0;65.0;100.0;90.54950495049503;94.5;3.2;15.1;10.360891089108913;10.4;;;
2025-06-17 02:00:00;11.847029702970296;0.2547008547008547;3.411875;7.166666666666667;91.02475247524752;10.379207920792078;5.5;15.7;11.847029702970296;11.95;0.0;2.5;0.2547008547008547;0.0;0.4;10.9;3.411875;2.85;0.0;9.0;7.166666666666667;8.0;65.0;100.0;91.02475247524752;95.0;3.4;15.6;10.379207920792078;10.9;;;
2025-06-17 01:00:00;11.816831683168315;0.2487179487179487;3.40875;7.12962962962963;90.86633663366337;10.304950495049503;3.0;15.6;11.816831683168315;12.35;0.0;3.5;0.2487179487179487;0.0;0.0;10.9;3.40875;2.95;0.0;9.0;7.12962962962963;8.0;67.0;100.0;90.86633663366337;94.0;2.9;15.5;10.304950495049503;10.95;;;
2025-06-17 00:00:00;11.988613861386138;0.2051282051282051;3.31125;7.101851851851852;89.17326732673267;10.156435643564356;2.1;15.7;11.988613861386138;12.65;0.0;2.5;0.2051282051282051;0.0;0.0;11.3;3.31125;2.5;0.0;9.0;7.101851851851852;8.0;60.0;100.0;89.17326732673267;94.0;2.0;15.3;10.156435643564356;11.1;;;
2025-06-16 23:00:00;12.296534653465349;0.2666666666666666;3.30375;6.824074074074074;86.9009900990099;10.03118811881188;2.5;16.7;12.296534653465349;13.15;0.0;5.6;0.2666666666666666;0.0;0.5;10.1;3.30375;2.6;0.0;9.0;6.824074074074074;8.0;55.0;100.0;86.9009900990099;92.0;2.3;15.3;10.03118811881188;11.2;;;
2025-06-16 22:00:00;12.76039603960396;0.1418803418803419;3.27625;6.722222222222222;84.47029702970298;10.003960396039604;3.2;17.8;12.76039603960396;13.7;0.0;1.9;0.1418803418803419;0.0;0.0;9.8;3.27625;2.6;0.0;9.0;6.722222222222222;8.0;50.0;100.0;84.47029702970298;88.5;2.7;15.4;10.003960396039604;11.2;;;
2025-06-16 21:00:00;13.248019801980195;0.1487179487179487;3.2106250000000003;6.25;82.03960396039604;10.021782178217824;5.2;18.5;13.248019801980195;14.0;0.0;2.3;0.1487179487179487;0.0;0.0;10.8;3.2106250000000003;2.5;0.0;8.0;6.25;8.0;47.0;100.0;82.03960396039604;85.5;2.0;15.8;10.021782178217824;11.5;;;
2025-06-16 20:00:00;13.905940594059404;0.1683760683760683;3.06875;5.722222222222222;78.31683168316832;9.892079207920792;7.2;19.2;13.905940594059404;14.25;0.0;3.8;0.1683760683760683;0.0;0.0;11.3;3.06875;2.5;0.0;9.0;5.722222222222222;7.0;47.0;100.0;78.31683168316832;79.0;2.1;16.0;9.892079207920792;10.95;;;
2025-06-16 19:00:00;14.735148514851485;0.129059829059829;2.932075471698113;5.305555555555555;74.41584158415841;9.848514851485149;7.1;20.1;14.735148514851485;15.0;0.0;3.9;0.129059829059829;0.0;0.0;10.0;2.932075471698113;2.5;0.0;9.0;5.305555555555555;7.0;41.0;100.0;74.41584158415841;72.5;2.3;15.9;9.848514851485149;11.3;;;
2025-06-16 18:00:00;15.689108910891088;0.088034188034188;2.960377358490566;4.648148148148148;68.79702970297029;9.452970297029704;5.8;21.3;15.689108910891088;15.85;0.0;2.0;0.088034188034188;0.0;0.4;8.8;2.960377358490566;2.6;0.0;9.0;4.648148148148148;6.0;35.0;100.0;68.79702970297029;64.0;2.0;15.9;9.452970297029704;10.6;;;
2025-06-16 17:00:00;16.400000000000002;0.0837606837606837;3.09;3.953703703703704;64.6980198019802;9.11881188118812;5.6;22.3;16.400000000000002;16.7;0.0;2.3;0.0837606837606837;0.0;0.4;10.0;3.09;2.8;0.0;8.0;3.953703703703704;4.5;34.0;100.0;64.6980198019802;60.5;1.5;16.0;9.11881188118812;10.75;;;
2025-06-16 16:00:00;16.94752475247525;0.041025641025641;3.272955974842767;3.75;61.81188118811881;8.937623762376239;6.8;22.9;16.94752475247525;17.3;0.0;2.8;0.041025641025641;0.0;0.5;10.2;3.272955974842767;2.9;0.0;8.0;3.75;3.5;34.0;100.0;61.81188118811881;57.0;1.8;17.3;8.937623762376239;10.3;;;
2025-06-16 15:00:00;17.255445544554455;0.0307692307692307;3.2880503144654085;3.555555555555556;59.445544554455445;8.649009900990098;7.0;23.6;17.255445544554455;17.45;0.0;2.0;0.0307692307692307;0.0;0.5;10.3;3.2880503144654085;3.0;0.0;8.0;3.555555555555556;3.0;31.0;100.0;59.445544554455445;54.0;1.7;16.4;8.649009900990098;10.1;;;
2025-06-16 14:00:00;17.432673267326734;0.0111111111111111;3.40440251572327;3.083333333333333;57.87128712871287;8.44009900990099;6.1;24.1;17.432673267326734;17.95;0.0;0.8;0.0111111111111111;0.0;0.6;10.2;3.40440251572327;3.1;0.0;8.0;3.083333333333333;2.0;32.0;100.0;57.87128712871287;54.0;1.8;16.8;8.44009900990099;8.85;;;
2025-06-16 13:00:00;17.356435643564357;0.0119658119658119;3.454088050314465;3.037037037037037;57.2970297029703;8.282673267326732;5.1;24.3;17.356435643564357;17.8;0.0;0.8;0.0119658119658119;0.0;0.9;9.8;3.454088050314465;3.1;0.0;8.0;3.037037037037037;2.0;30.0;100.0;57.2970297029703;54.0;1.6;16.6;8.282673267326732;8.45;;;
2025-06-16 12:00:00;17.15049504950495;0.0;3.611949685534591;2.814814814814815;56.866336633663366;7.994554455445545;5.2;23.8;17.15049504950495;18.1;0.0;0.0;0.0;0.0;0.4;13.4;3.611949685534591;3.3;0.0;8.0;2.814814814814815;1.0;31.0;94.0;56.866336633663366;54.5;1.5;15.9;7.994554455445545;8.25;;;
2025-06-16 11:00:00;16.745544554455446;0.0;3.729559748427673;2.787037037037037;57.881188118811885;7.889108910891089;4.8;23.7;16.745544554455446;17.5;0.0;0.0;0.0;0.0;0.6;13.9;3.729559748427673;3.3;0.0;8.0;2.787037037037037;1.0;28.0;94.0;57.881188118811885;57.0;1.2;15.8;7.889108910891089;7.7;;;
2025-06-16 10:00:00;16.222;0.0;3.708860759493671;3.138888888888889;59.27;7.841;4.9;24.3;16.222;17.0;0.0;0.0;0.0;0.0;1.1;14.2;3.708860759493671;3.3;0.0;8.0;3.138888888888889;2.0;33.0;95.0;59.27;57.5;0.8;15.7;7.841;8.2;;;
2025-06-16 09:00:00;15.672772277227724;0.0017094017094017;3.6031446540880494;3.361111111111111;60.58415841584159;7.7;5.4;23.2;15.672772277227724;16.55;0.0;0.2;0.0017094017094017;0.0;0.9;13.8;3.6031446540880494;3.2;0.0;8.0;3.361111111111111;3.0;30.0;97.0;60.58415841584159;59.0;0.8;15.6;7.7;7.75;;;
2025-06-16 08:00:00;14.972139303482589;0.0;3.339490445859872;3.7289719626168223;62.81592039800995;7.610945273631841;4.6;21.8;14.972139303482589;16.1;0.0;0.0;0.0;0.0;0.5;14.6;3.339490445859872;3.0;0.0;8.0;3.7289719626168223;4.0;37.0;92.0;62.81592039800995;63.0;0.1;15.4;7.610945273631841;7.8;;;
2025-06-12 10:00:00;-8.51;0.88;2.09;;;;-4.05;-0.45;6.18;2.72;0.0;0.0;1.24;0.96;0.57;1.52;1.8;4.47;;;;;;;;;;;;;1013.32;76.12;4.4
2025-06-12 09:00:00;-0.19;0.36;4.42;;;;19.3;7.19;0.84;2.92;0.06;1.71;0.43;0.71;0.35;3.0;0.0;0.0;;;;;;;;;;;;;1016.99;52.37;7.28
2025-06-12 08:00:00;8.62;0.79;0.85;;;;-16.83;14.5;14.76;2.88;0.0;0.45;0.0;0.0;0.86;1.73;3.39;2.38;;;;;;;;;;;;;1013.49;43.11;6.21
2025-06-12 07:00:00;10.1;0.93;1.6;;;;-4.73;17.68;1.43;13.61;0.11;0.56;0.45;0.44;3.86;5.95;0.0;6.33;;;;;;;;;;;;;1005.52;57.3;9.88
2025-06-12 06:00:00;-2.32;0.23;5.89;;;;-2.32;7.99;2.76;14.0;0.11;0.0;0.2;0.0;1.05;6.17;1.52;3.86;;;;;;;;;;;;;1020.8;71.67;10.67
2025-06-12 05:00:00;6.68;0.02;4.76;;;;-9.14;5.74;-0.71;5.24;0.18;0.0;0.0;0.88;2.01;2.58;1.33;5.52;;;;;;;;;;;;;1025.77;59.88;5.94
2025-06-12 04:00:00;7.12;0.93;4.87;;;;2.4;15.0;2.99;4.72;0.0;0.0;0.0;0.79;0.0;8.08;3.01;2.19;;;;;;;;;;;;;1013.0;75.59;8.86
2025-06-12 03:00:00;-5.4;0.41;1.11;;;;-22.36;9.85;8.92;18.87;0.05;0.0;0.34;0.0;1.39;4.76;1.44;4.81;;;;;;;;;;;;;1023.17;42.1;6.33
2025-06-12 02:00:00;-4.1;0.0;2.6;;;;-14.76;18.82;18.08;2.71;0.0;0.35;0.74;0.34;0.6;0.27;2.21;6.01;;;;;;;;;;;;;1012.24;48.8;10.24
2025-06-12 01:00:00;0.34;0.0;3.83;;;;-1.27;6.74;2.82;5.84;0.0;0.0;0.0;0.0;0.29;6.1;3.52;3.59;;;;;;;;;;;;;1031.07;33.05;1.87
2025-06-12 00:00:00;-7.43;0.83;6.95;;;;-4.75;13.49;3.9;7.72;0.0;0.0;0.62;0.0;2.19;4.49;2.46;5.23;;;;;;;;;;;;;1013.26;71.37;4.06
2025-06-11 23:00:00;8.4;0.0;1.5;;;;12.21;1.78;7.25;-2.9;0.12;0.65;1.44;0.28;0.96;5.52;2.76;0.0;;;;;;;;;;;;;992.05;83.29;14.65
2025-06-11 22:00:00;14.55;0.44;1.66;;;;8.01;16.15;-3.12;5.76;0.02;1.56;0.2;0.13;1.97;6.72;0.0;2.85;;;;;;;;;;;;;1013.67;80.49;5.92
2025-06-11 21:00:00;0.85;1.45;1.11;;;;-5.91;10.2;2.1;9.7;0.0;0.18;0.0;0.0;2.17;7.47;3.35;0.0;;;;;;;;;;;;;1009.69;94.12;8.59
2025-06-11 20:00:00;15.43;0.01;2.28;;;;3.6;10.5;3.52;8.28;0.02;0.4;0.22;0.48;1.25;1.12;4.36;3.01;;;;;;;;;;;;;1002.91;60.6;8.33
2025-06-11 19:00:00;0.86;0.0;5.77;;;;-7.79;6.79;7.21;17.05;0.0;0.0;0.52;0.84;1.41;3.06;7.08;1.07;;;;;;;;;;;;;1020.04;45.48;8.18
2025-06-11 18:00:00;4.85;0.77;2.9;;;;-6.95;8.69;-3.89;10.5;0.11;0.07;0.55;0.17;1.84;2.57;4.05;6.96;;;;;;;;;;;;;991.21;56.06;5.77
2025-06-11 17:00:00;12.89;0.0;3.48;;;;-9.06;3.06;-8.28;6.07;0.0;0.0;0.4;0.39;0.64;7.07;2.54;2.22;;;;;;;;;;;;;1011.42;61.81;8.85
2025-06-11 16:00:00;6.16;0.0;5.81;;;;-1.0;13.42;6.83;-2.45;0.0;0.93;0.56;0.28;0.02;5.43;0.0;3.31;;;;;;;;;;;;;1010.79;82.12;3.99
2025-06-11 15:00:00;6.61;0.0;2.5;;;;8.57;17.12;-3.54;18.4;0.0;0.0;0.9;0.76;0.67;0.57;3.69;4.7;;;;;;;;;;;;;997.97;73.73;7.78
2025-06-11 14:00:00;7.0;0.0;4.3;;;;-4.28;6.42;8.46;-2.07;0.0;1.17;0.0;0.75;0.03;4.02;1.13;2.13;;;;;;;;;;;;;1037.82;68.92;7.97
2025-06-11 13:00:00;15.1;0.0;1.75;;;;4.27;14.85;3.4;1.65;0.17;1.0;0.0;0.17;1.68;5.86;4.57;1.01;;;;;;;;;;;;;1015.31;57.83;11.99
2025-06-11 12:00:00;-6.54;0.0;3.07;;;;-1.84;-2.14;8.02;-1.35;0.0;0.0;0.0;0.0;0.85;3.84;2.29;3.69;;;;;;;;;;;;;1015.7;80.99;5.31
2025-06-11 11:00:00;4.59;0.0;1.29;;;;4.4;10.53;2.5;8.91;0.16;0.0;0.08;0.5;0.45;0.79;4.78;3.8;;;;;;;;;;;;;1009.01;59.66;6.87
2025-06-11 10:00:00;-1.63;0.55;1.1;;;;13.91;9.8;4.22;18.62;0.0;0.0;0.76;0.0;1.38;3.8;2.62;3.98;;;;;;;;;;;;;1021.28;66.16;6.95
2025-06-11 09:00:00;12.23;0.49;1.03;;;;-2.81;18.9;7.96;10.75;0.0;0.23;0.04;0.1;1.65;6.29;0.13;2.55;;;;;;;;;;;;;1025.33;78.55;4.15
2025-06-11 08:00:00;1.83;0.38;0.0;;;;-1.87;9.47;12.84;-0.84;0.15;0.8;0.42;0.61;0.0;7.55;1.84;1.05;;;;;;;;;;;;;1020.61;97.76;6.07
2025-06-11 07:00:00;16.2;0.0;2.11;;;;2.45;7.6;-1.34;11.26;0.0;0.54;0.12;0.0;0.25;5.7;5.49;2.59;;;;;;;;;;;;;1013.27;86.65;8.31
2025-06-11 06:00:00;10.7;0.65;1.16;;;;-2.61;25.06;15.81;10.04;0.0;2.19;0.0;0.23;1.5;6.46;0.0;5.16;;;;;;;;;;;;;1023.19;50.66;4.04
2025-06-11 05:00:00;0.4;0.69;5.92;;;;-4.92;24.65;-1.39;1.39;0.0;0.03;1.34;0.02;0.07;6.69;1.31;5.07;;;;;;;;;;;;;1015.74;68.65;8.04
2025-06-11 04:00:00;1.52;0.32;2.76;;;;-12.77;-1.15;17.69;12.77;0.0;0.0;0.0;0.24;0.74;4.37;2.22;3.67;;;;;;;;;;;;;1024.88;82.0;11.38
2025-06-11 03:00:00;19.28;0.85;5.76;;;;4.32;0.97;5.87;4.71;0.1;0.0;0.46;0.0;0.98;7.84;2.96;2.32;;;;;;;;;;;;;1012.58;55.02;1.0
2025-06-11 02:00:00;2.03;0.0;1.59;;;;21.9;1.62;1.66;-17.53;0.0;0.4;0.46;1.13;2.14;4.35;3.78;4.65;;;;;;;;;;;;;1012.38;73.58;3.78
2025-06-11 01:00:00;13.74;0.84;5.55;;;;-2.13;4.01;-10.8;6.54;0.08;0.59;0.0;0.48;1.89;8.01;4.58;3.44;;;;;;;;;;;;;1004.81;92.7;6.99
2025-06-11 00:00:00;2.03;0.14;2.6;;;;13.21;5.09;11.87;4.04;0.3;0.0;0.12;0.3;0.98;4.21;0.82;0.0;;;;;;;;;;;;;1018.37;99.42;9.69
2025-06-10 23:00:00;7.91;1.17;4.9;;;;4.4;22.82;1.81;9.97;0.0;0.0;0.0;0.0;0.24;6.39;3.37;6.56;;;;;;;;;;;;;1031.5;37.24;8.89
2025-06-10 22:00:00;2.6;0.96;0.76;;;;-11.38;14.13;-2.03;7.82;0.0;0.16;0.52;0.13;1.0;4.72;3.5;1.86;;;;;;;;;;;;;1008.64;61.41;10.67
2025-06-10 21:00:00;10.9;0.27;5.04;;;;-3.99;15.33;-5.28;-0.69;0.0;0.42;0.0;0.13;0.9;8.01;3.31;2.26;;;;;;;;;;;;;1018.13;69.19;2.89
2025-06-10 20:00:00;-3.21;0.21;5.13;;;;-5.23;-4.58;11.88;2.85;0.0;0.24;0.24;0.1;1.02;4.31;4.73;3.35;;;;;;;;;;;;;1025.85;71.5;14.83
2025-06-10 19:00:00;12.78;0.1;2.72;;;;-3.82;11.8;8.05;-1.82;0.18;0.24;0.0;0.0;0.0;6.59;3.46;1.92;;;;;;;;;;;;;1026.79;66.29;9.49
2025-06-10 18:00:00;-2.04;0.0;4.17;;;;-13.66;-11.11;-3.91;-2.85;0.02;0.0;0.0;0.0;0.0;6.3;2.12;1.26;;;;;;;;;;;;;1012.58;56.51;7.19
2025-06-10 17:00:00;12.46;0.95;0.08;;;;11.03;7.89;-6.14;18.91;0.0;0.66;0.0;0.57;1.75;7.16;4.67;1.62;;;;;;;;;;;;;1034.66;58.93;10.51
2025-06-10 16:00:00;-5.97;1.23;5.36;;;;11.2;-4.99;5.09;8.18;0.0;0.9;0.0;1.27;0.65;1.14;4.72;2.6;;;;;;;;;;;;;1029.23;67.84;7.98
2025-06-10 15:00:00;3.16;0.5;3.96;;;;3.24;-5.38;4.99;20.77;0.22;1.46;0.23;0.32;0.0;1.99;2.68;0.0;;;;;;;;;;;;;1014.12;75.54;10.25
2025-06-10 14:00:00;10.69;0.45;0.82;;;;6.94;9.24;-4.67;-0.02;0.08;1.11;0.0;0.51;0.28;8.44;2.55;6.69;;;;;;;;;;;;;1017.95;38.79;4.51
2025-06-10 13:00:00;0.24;0.0;1.92;;;;10.71;-8.82;2.68;7.9;0.04;0.0;0.0;0.94;1.55;3.49;2.12;2.61;;;;;;;;;;;;;1013.1;61.15;7.96
2025-06-10 12:00:00;12.31;0.27;3.13;;;;-1.3;3.69;6.99;-3.59;0.0;0.09;0.56;0.55;0.63;5.83;3.24;0.0;;;;;;;;;;;;;1018.74;92.25;4.95
